1 Q0 34852269115580416	1 0.9518675 myRun
1 Q0 34858775479320576	59 0.68057615 myRun
1 Q0 31159466858643456	60 0.67958623 myRun
1 Q0 34282009186537472	61 0.67811394 myRun
1 Q0 30423507347181568	62 0.67529505 myRun
1 Q0 33249624546480128	63 0.67128944 myRun
1 Q0 33240912175824896	64 0.67128944 myRun
1 Q0 30554037510213632	65 0.67072666 myRun
1 Q0 34676394025816064	66 0.6688989 myRun
1 Q0 33960633200279552	67 0.6687887 myRun
1 Q0 34514609985556480	68 0.66797286 myRun
1 Q0 32080604065431552	69 0.6675284 myRun
1 Q0 34697496848646144	70 0.6660782 myRun
1 Q0 33441501002342400	71 0.6652957 myRun
1 Q0 34809237582389248	72 0.6636677 myRun
1 Q0 34627341875417088	73 0.66342294 myRun
1 Q0 34612306667114496	74 0.66256434 myRun
1 Q0 34603816372551680	75 0.66256434 myRun
1 Q0 34852790169772032	76 0.6596496 myRun
1 Q0 34502121210515456	77 0.6582912 myRun
1 Q0 34906600250548224	78 0.658234 myRun
1 Q0 34781995296886784	79 0.65815896 myRun
1 Q0 34544817887252480	80 0.6579962 myRun
1 Q0 34819526042320896	81 0.6577778 myRun
1 Q0 34816770833383426	82 0.6577778 myRun
1 Q0 34813475813326848	83 0.6577778 myRun
1 Q0 33845063024902144	84 0.6569385 myRun
1 Q0 33032936143986690	85 0.6554283 myRun
1 Q0 32240123013767168	86 0.6536677 myRun
1 Q0 33993344493293569	87 0.6517325 myRun
1 Q0 33044519750475776	88 0.65099216 myRun
1 Q0 34625416622776320	89 0.64944386 myRun
1 Q0 34931004799975424	90 0.64789355 myRun
1 Q0 34853451863171072	91 0.6474041 myRun
1 Q0 34949937858875394	92 0.6473176 myRun
1 Q0 34864510900764672	93 0.6470598 myRun
1 Q0 34917809507008512	94 0.64415187 myRun
1 Q0 34704726805192704	95 0.6435633 myRun
1 Q0 34950587099385856	96 0.64324796 myRun
1 Q0 34924511312883713	97 0.64069676 myRun
1 Q0 34525681698209793	98 0.63852096 myRun
1 Q0 34931954654646273	99 0.636215 myRun
1 Q0 34329741490135040	100 0.63548255 myRun
1 Q0 34778255236005888	101 0.63534206 myRun
1 Q0 34695954263318528	102 0.6335371 myRun
1 Q0 31201653633851393	103 0.63353586 myRun
1 Q0 34852375105642497	104 0.63346326 myRun
1 Q0 30581416408391680	105 0.6334474 myRun
1 Q0 34876431599140864	106 0.6327117 myRun
1 Q0 30377751324135424	107 0.6298791 myRun
1 Q0 34462866182639616	108 0.6290877 myRun
1 Q0 34892425243660288	109 0.6278336 myRun
1 Q0 33831740283957248	110 0.6260998 myRun
1 Q0 34907421302325248	111 0.6259701 myRun
1 Q0 31728747883274240	112 0.62557864 myRun
1 Q0 31158737041367040	113 0.62456256 myRun
1 Q0 30633744511533057	114 0.62430114 myRun
1 Q0 34264130017824769	115 0.6227486 myRun
1 Q0 34950002291773440	116 0.622025 myRun
1 Q0 34623024279982080	117 0.6218502 myRun
1 Q0 34910242567364608	118 0.6212355 myRun
1 Q0 34447009125498881	119 0.62072587 myRun
1 Q0 30463304543506433	120 0.62072223 myRun
1 Q0 34951141590568960	121 0.61943555 myRun
1 Q0 34949186663223296	122 0.61941373 myRun
1 Q0 34949097265827840	123 0.61941373 myRun
1 Q0 30598140105072640	124 0.6193894 myRun
1 Q0 34876924790714368	125 0.61683345 myRun
1 Q0 32106462016700418	126 0.61683345 myRun
1 Q0 32418932929339392	127 0.61662996 myRun
1 Q0 33230810693763072	128 0.61598796 myRun
1 Q0 34807222911377408	129 0.6136557 myRun
1 Q0 34392034286505984	130 0.61094666 myRun
1 Q0 31653409140514816	131 0.61076367 myRun
1 Q0 34284800034471936	132 0.6105288 myRun
1 Q0 34932825786417152	133 0.60932505 myRun
1 Q0 33084568277884928	134 0.6083008 myRun
1 Q0 32846346322972672	135 0.6079841 myRun
1 Q0 33159400789118977	136 0.6074989 myRun
1 Q0 34429878568890368	137 0.60745513 myRun
1 Q0 31102251548278784	138 0.6068523 myRun
1 Q0 32117762864189441	139 0.6067687 myRun
1 Q0 34545260038193152	140 0.6055591 myRun
1 Q0 33168294152245248	141 0.604869 myRun
1 Q0 33045690359889920	142 0.604869 myRun
1 Q0 33024248884756480	143 0.604869 myRun
1 Q0 33022313171525632	144 0.604869 myRun
1 Q0 34851292044066816	145 0.6048446 myRun
1 Q0 34950308182360064	146 0.6044821 myRun
1 Q0 34944634237095936	147 0.60410756 myRun
1 Q0 33032458442113024	148 0.60249877 myRun
1 Q0 34725541701627904	149 0.6014497 myRun
1 Q0 34895952456335360	150 0.6013464 myRun
1 Q0 34475250632769536	151 0.6011022 myRun
1 Q0 30463945407991808	152 0.6002045 myRun
1 Q0 34860704469090305	153 0.5997722 myRun
1 Q0 34350601898819585	154 0.59970665 myRun
1 Q0 34884833444368384	155 0.5996452 myRun
1 Q0 32096654177861634	156 0.596908 myRun
1 Q0 34941068587831296	157 0.5962822 myRun
1 Q0 31948589307527168	158 0.59608114 myRun
1 Q0 32128769699356672	159 0.595219 myRun
1 Q0 34458532887662592	160 0.5950111 myRun
1 Q0 33651740842659841	161 0.594751 myRun
1 Q0 34911391466917888	162 0.5944401 myRun
1 Q0 34189320759812096	163 0.59416634 myRun
1 Q0 33559470726447104	164 0.59407765 myRun
1 Q0 30589285820276736	165 0.5940623 myRun
1 Q0 33415288099700736	166 0.5936154 myRun
1 Q0 33854110000353280	167 0.5929878 myRun
1 Q0 31485740202328064	168 0.59133404 myRun
1 Q0 32124582701830144	169 0.5913234 myRun
1 Q0 34798638530035712	170 0.5912711 myRun
1 Q0 34200991268208641	171 0.5910616 myRun
1 Q0 33103643406241792	172 0.59073484 myRun
1 Q0 34888579704557568	173 0.5903906 myRun
1 Q0 32357904556236802	174 0.589864 myRun
1 Q0 34948012610420736	175 0.58814776 myRun
1 Q0 34641380852629505	176 0.58814776 myRun
1 Q0 34934988625420288	177 0.58665574 myRun
1 Q0 34181869322903552	178 0.5865985 myRun
1 Q0 34867530111651840	179 0.58650684 myRun
1 Q0 33937621742788608	180 0.5856532 myRun
1 Q0 34951899295920129	181 0.5853393 myRun
1 Q0 34950788132380672	182 0.58490705 myRun
1 Q0 34178675104546816	183 0.5845293 myRun
1 Q0 34926201403490304	184 0.5842467 myRun
1 Q0 33976236870991872	185 0.5841718 myRun
1 Q0 34569204321492992	186 0.5822868 myRun
1 Q0 34240297676316672	187 0.5819839 myRun
1 Q0 34945584968372224	188 0.5817889 myRun
1 Q0 33509991683985409	189 0.58126545 myRun
1 Q0 34789534390550528	190 0.5794962 myRun
1 Q0 34481845777207296	191 0.5791373 myRun
1 Q0 34803184304128000	192 0.5790829 myRun
1 Q0 34303174483382273	193 0.5779165 myRun
1 Q0 34553453812387840	194 0.57742155 myRun
1 Q0 30596588489408512	195 0.5764626 myRun
1 Q0 32839394880651264	196 0.5762998 myRun
1 Q0 34737409480458240	197 0.57504 myRun
1 Q0 31487939770851328	198 0.575032 myRun
1 Q0 34936165111037952	199 0.57488906 myRun
1 Q0 34812826421825536	200 0.5738137 myRun
1 Q0 34912051029606402	201 0.5737289 myRun
1 Q0 34742203939028992	202 0.5727269 myRun
1 Q0 34326030139260928	203 0.5717068 myRun
1 Q0 34744308087132160	204 0.5716038 myRun
1 Q0 34915697993719808	205 0.5714904 myRun
1 Q0 34708483781693440	206 0.57108223 myRun
1 Q0 34551264511528960	207 0.57005453 myRun
1 Q0 34707878099161088	208 0.5695975 myRun
1 Q0 34850821568987136	209 0.56867206 myRun
1 Q0 30700502123544576	210 0.5678162 myRun
1 Q0 31485879465803776	211 0.56722885 myRun
1 Q0 33521585340022784	212 0.5665262 myRun
1 Q0 33304669618962432	213 0.5655058 myRun
1 Q0 34828722234200064	214 0.5639579 myRun
1 Q0 33836505248047104	215 0.56341356 myRun
1 Q0 34875144895873024	216 0.5629991 myRun
1 Q0 33634329997348864	217 0.5624477 myRun
1 Q0 33612530542714880	218 0.5624477 myRun
1 Q0 33602688037945344	219 0.5624477 myRun
1 Q0 34351883074277376	220 0.5623915 myRun
1 Q0 34777298276192256	221 0.5616016 myRun
1 Q0 34142019685187584	222 0.561384 myRun
1 Q0 34882307697414144	223 0.56111133 myRun
1 Q0 31510426927763456	224 0.56079936 myRun
1 Q0 31492002872827904	225 0.56079936 myRun
1 Q0 31491005534437377	226 0.56079936 myRun
1 Q0 34696531139371008	227 0.56020105 myRun
1 Q0 31485258952089601	228 0.55908525 myRun
1 Q0 33553634578931714	229 0.5580816 myRun
1 Q0 33928899893133312	230 0.556 myRun
1 Q0 34756421987864576	231 0.5557294 myRun
1 Q0 34513796349304832	232 0.55516315 myRun
1 Q0 34510222357700608	233 0.55516315 myRun
1 Q0 34643388082950144	234 0.55448186 myRun
1 Q0 34316994635374592	235 0.5542717 myRun
1 Q0 34739485929377792	236 0.5541922 myRun
1 Q0 34937962802184192	237 0.55418265 myRun
1 Q0 31649109051965440	238 0.553811 myRun
1 Q0 31762305326784512	239 0.55371326 myRun
1 Q0 34288030294478848	240 0.5535243 myRun
1 Q0 34945315765231616	241 0.5535147 myRun
1 Q0 33566386861117440	242 0.55330145 myRun
1 Q0 34907140980219904	243 0.55322254 myRun
1 Q0 34177127515422720	244 0.552871 myRun
1 Q0 33525582021009408	245 0.5526415 myRun
1 Q0 34944779200499713	246 0.55205107 myRun
1 Q0 32237318962159616	247 0.551921 myRun
1 Q0 33549983881895936	248 0.5518456 myRun
1 Q0 30587022246678528	249 0.5516897 myRun
1 Q0 34951749731090432	250 0.5513412 myRun
1 Q0 34387751537217536	251 0.5511874 myRun
1 Q0 34872588857511936	252 0.55111146 myRun
1 Q0 34772121917853696	253 0.5501156 myRun
1 Q0 30419390310645761	254 0.54993427 myRun
1 Q0 34622434564898816	255 0.54980636 myRun
1 Q0 34726156393656320	256 0.5495708 myRun
1 Q0 34139645902065664	257 0.54882526 myRun
1 Q0 34911451630010369	258 0.54827607 myRun
1 Q0 34952041415581696	259 0.54738617 myRun
1 Q0 34743731659866112	260 0.5468207 myRun
1 Q0 33316184879411200	261 0.5467251 myRun
1 Q0 31701120082518016	262 0.5466482 myRun
1 Q0 34925209437872128	263 0.5454514 myRun
1 Q0 34005858346209280	264 0.5445106 myRun
1 Q0 34770147554107393	265 0.5443085 myRun
1 Q0 33450674620465152	266 0.54407334 myRun
1 Q0 31548578920923136	267 0.543899 myRun
1 Q0 34734522431971329	268 0.54327387 myRun
1 Q0 34921636532723712	269 0.5431937 myRun
1 Q0 34212967838908418	270 0.5417268 myRun
1 Q0 34778717079216128	271 0.5414469 myRun
1 Q0 34901924344111104	272 0.5410717 myRun
1 Q0 34946507903864832	273 0.5407367 myRun
1 Q0 30986508492087297	274 0.53965867 myRun
1 Q0 34227948139581440	275 0.539322 myRun
1 Q0 34444744465584128	276 0.53863907 myRun
1 Q0 30500781002063872	277 0.538054 myRun
1 Q0 34482589175648257	278 0.5377468 myRun
1 Q0 33148017498394624	279 0.5371773 myRun
1 Q0 34020986487578625	280 0.53647053 myRun
1 Q0 34930476288442368	281 0.53587115 myRun
1 Q0 34927536190263296	282 0.5356734 myRun
1 Q0 32881828847157248	283 0.5354068 myRun
1 Q0 34806909412319232	284 0.5353115 myRun
1 Q0 31492905856147456	285 0.53506136 myRun
1 Q0 31488058029244416	286 0.53506136 myRun
1 Q0 34718307084935168	287 0.53424174 myRun
1 Q0 30526601410121728	288 0.5342165 myRun
1 Q0 34648572951531520	289 0.53356594 myRun
1 Q0 34951766319706112	290 0.5321051 myRun
1 Q0 34900303178371072	291 0.5320185 myRun
1 Q0 34899989935161345	292 0.5320185 myRun
1 Q0 30515857213890560	293 0.53160167 myRun
1 Q0 34175415006265344	294 0.5313417 myRun
1 Q0 33551624051892224	295 0.5313393 myRun
1 Q0 32850626794758144	296 0.5312317 myRun
1 Q0 34638664097079296	297 0.5308559 myRun
1 Q0 30780801931026432	298 0.53074 myRun
1 Q0 34770793162342400	299 0.5302503 myRun
1 Q0 34563031610433536	300 0.5286914 myRun
1 Q0 32834102369456130	301 0.5283329 myRun
1 Q0 33399149504237568	302 0.52716494 myRun
1 Q0 34456915450933248	303 0.5270378 myRun
1 Q0 33551074518376449	304 0.5263884 myRun
1 Q0 32777419622457344	305 0.52623475 myRun
1 Q0 31485846519545856	306 0.5261338 myRun
1 Q0 34771547054940160	307 0.5261054 myRun
1 Q0 33084942892146688	308 0.5255606 myRun
1 Q0 34647918333927424	309 0.5253756 myRun
1 Q0 33395096489566209	310 0.525311 myRun
1 Q0 34938658486222848	311 0.5249191 myRun
1 Q0 32756779397947392	312 0.5245086 myRun
1 Q0 34885439919894528	313 0.52447957 myRun
1 Q0 34932398680440832	314 0.52392524 myRun
1 Q0 34722442345709568	315 0.52279776 myRun
1 Q0 34664881575690240	316 0.52240515 myRun
1 Q0 34779199482888192	317 0.5220848 myRun
1 Q0 34842670362923008	318 0.5217663 myRun
1 Q0 34707839490588672	319 0.5212946 myRun
1 Q0 34882508017377280	320 0.52128404 myRun
1 Q0 33442660542840832	321 0.51952577 myRun
1 Q0 30496268895657984	322 0.518257 myRun
1 Q0 33556305918566400	323 0.51780987 myRun
1 Q0 34607321665507329	324 0.51688105 myRun
1 Q0 31001167404212224	325 0.51671076 myRun
1 Q0 34882935404367872	326 0.51665664 myRun
1 Q0 30769665240203264	327 0.51556623 myRun
1 Q0 34598980834824192	328 0.51535106 myRun
1 Q0 34859287251517440	329 0.5151774 myRun
1 Q0 33657351655399424	330 0.51506835 myRun
1 Q0 34947995170648064	331 0.51459444 myRun
1 Q0 34886228193198080	332 0.5145213 myRun
1 Q0 31485805482479616	333 0.5141582 myRun
1 Q0 34389878783348736	334 0.51346666 myRun
1 Q0 34384798248083458	335 0.51346666 myRun
1 Q0 34674358152593408	336 0.5110613 myRun
1 Q0 34903236833972224	337 0.5097826 myRun
1 Q0 30923924376125441	338 0.50970435 myRun
1 Q0 33077319371333633	339 0.50906926 myRun
1 Q0 33133345017696256	340 0.50802696 myRun
1 Q0 34697869604687873	341 0.5071636 myRun
1 Q0 34292588471123968	342 0.5067841 myRun
1 Q0 34703573090574337	343 0.5063977 myRun
1 Q0 32930976912904192	344 0.50591606 myRun
1 Q0 34197123578728448	345 0.5048964 myRun
1 Q0 34828285410017280	346 0.5047175 myRun
1 Q0 34323809263681536	347 0.5041513 myRun
1 Q0 33000221088686080	348 0.5038277 myRun
1 Q0 34770043778637825	349 0.5037208 myRun
1 Q0 34740078030880768	350 0.5032026 myRun
1 Q0 34948877027123200	351 0.5029627 myRun
1 Q0 30390314107666433	352 0.50198567 myRun
1 Q0 34595314547560448	353 0.5013212 myRun
1 Q0 34922777454579712	354 0.50102854 myRun
1 Q0 34559741296381952	355 0.5002349 myRun
1 Q0 34187281942183936	356 0.4992155 myRun
1 Q0 34593563899600896	357 0.49874124 myRun
1 Q0 34365185414135808	358 0.49790132 myRun
1 Q0 32639995135131648	359 0.49725276 myRun
1 Q0 34707905735438336	360 0.49635684 myRun
1 Q0 34768564770570240	361 0.49577793 myRun
1 Q0 34352312872869888	362 0.49569127 myRun
1 Q0 34257154743472128	363 0.4955372 myRun
1 Q0 34694872199860225	364 0.49509388 myRun
1 Q0 33878396152840192	365 0.49463508 myRun
1 Q0 34617304075476994	366 0.49450925 myRun
1 Q0 34918395459674112	367 0.4939525 myRun
1 Q0 34623437011951617	368 0.4936074 myRun
1 Q0 34823468210077696	369 0.49337927 myRun
1 Q0 32051400745684992	370 0.49136072 myRun
1 Q0 34788312715771904	371 0.49093366 myRun
1 Q0 31089355871223808	372 0.49067912 myRun
1 Q0 34863742973911040	373 0.49037468 myRun
1 Q0 34623684111122432	374 0.48979795 myRun
1 Q0 34026930940416000	375 0.48977375 myRun
1 Q0 33537918312120320	376 0.48974842 myRun
1 Q0 34951452208136192	377 0.48961368 myRun
1 Q0 34109344127655936	378 0.4887584 myRun
1 Q0 34816016009662464	379 0.48714867 myRun
1 Q0 34948238024904704	380 0.4871239 myRun
1 Q0 34705965907451905	381 0.48646092 myRun
1 Q0 31850686425600000	382 0.4862303 myRun
1 Q0 33140845918027776	383 0.48604342 myRun
1 Q0 34192568942071808	384 0.48598468 myRun
1 Q0 31488619965317120	385 0.48383564 myRun
1 Q0 32513375283974145	386 0.4835992 myRun
1 Q0 34779952851333120	387 0.48319584 myRun
1 Q0 34949189423071233	388 0.48311687 myRun
1 Q0 34889723109449729	389 0.482247 myRun
1 Q0 34703780100448257	390 0.48200053 myRun
1 Q0 31066259206447105	391 0.48026666 myRun
1 Q0 31017367710470145	392 0.48026666 myRun
1 Q0 34728639425683457	393 0.48005253 myRun
1 Q0 33823403328671744	394 0.47987878 myRun
1 Q0 30997660936704000	395 0.47877562 myRun
1 Q0 34892953281363968	396 0.4787705 myRun
1 Q0 33439073175605248	397 0.4784088 myRun
1 Q0 34664170259484672	398 0.47813356 myRun
1 Q0 34793802963099648	399 0.47715944 myRun
1 Q0 31698534671581184	400 0.4757908 myRun
1 Q0 30767239233798144	401 0.47465432 myRun
1 Q0 34693424015745024	402 0.47428495 myRun
1 Q0 34647788381802496	403 0.47369918 myRun
1 Q0 34946671993430016	404 0.47258067 myRun
1 Q0 34918967202029568	405 0.47150955 myRun
1 Q0 30379377392885761	406 0.47039747 myRun
1 Q0 34456614933106689	407 0.4701778 myRun
1 Q0 34926638042980352	408 0.46988183 myRun
1 Q0 34939797898272768	409 0.46978414 myRun
1 Q0 34919812933099520	410 0.4685163 myRun
1 Q0 32985385306955776	411 0.4684279 myRun
1 Q0 31361923412922368	412 0.4680487 myRun
1 Q0 34420772445356032	413 0.4667682 myRun
1 Q0 34907403195523073	414 0.46629894 myRun
1 Q0 34947770762661888	415 0.46516606 myRun
1 Q0 34700360425676800	416 0.4651156 myRun
1 Q0 34899649898876928	417 0.46507496 myRun
1 Q0 30997129900072961	418 0.46504164 myRun
1 Q0 30505596528623616	419 0.46483976 myRun
1 Q0 34795905815158784	420 0.46401662 myRun
1 Q0 34507566629261312	421 0.46346748 myRun
1 Q0 34934282178793472	422 0.46283677 myRun
1 Q0 34646326314541058	423 0.4621954 myRun
1 Q0 33925179675516928	424 0.46195868 myRun
1 Q0 34109736261525504	425 0.4615646 myRun
1 Q0 32740337151643648	426 0.4595483 myRun
1 Q0 34713648542777344	427 0.45881176 myRun
1 Q0 34939203464871936	428 0.4584537 myRun
1 Q0 30419535756533762	429 0.45840487 myRun
1 Q0 34613104696360960	430 0.45820045 myRun
1 Q0 34560396509577216	431 0.45775196 myRun
1 Q0 34918966904229889	432 0.45722207 myRun
1 Q0 34912073804681216	433 0.45716387 myRun
1 Q0 34940996215111680	434 0.45672816 myRun
1 Q0 32835196143276032	435 0.45453662 myRun
1 Q0 34654464329654272	436 0.45352575 myRun
1 Q0 34309737851916288	437 0.4525593 myRun
1 Q0 34929693434056704	438 0.4515553 myRun
1 Q0 32916445591502850	439 0.45137775 myRun
1 Q0 32783211335524352	440 0.45121187 myRun
1 Q0 34942301021147136	441 0.45110303 myRun
1 Q0 34951099060461568	442 0.45055223 myRun
1 Q0 34186687638667264	443 0.45046866 myRun
1 Q0 34936955707858946	444 0.45020357 myRun
1 Q0 34929603411709952	445 0.44998622 myRun
1 Q0 34934069821186048	446 0.44907674 myRun
1 Q0 30822512380088320	447 0.44849193 myRun
1 Q0 34557431988097025	448 0.4479821 myRun
1 Q0 34792377113649153	449 0.4470425 myRun
1 Q0 33495595398205441	450 0.44689417 myRun
1 Q0 33835892271484928	451 0.44679996 myRun
1 Q0 34917620188717056	452 0.44624105 myRun
1 Q0 34764342079524864	453 0.44549847 myRun
1 Q0 34946476572409856	454 0.44516402 myRun
1 Q0 34360616298741760	455 0.4428425 myRun
1 Q0 34792710141378560	456 0.44178933 myRun
1 Q0 32062450161426432	457 0.44147894 myRun
1 Q0 30748753715527680	458 0.44117576 myRun
1 Q0 33915128260853761	459 0.44113746 myRun
1 Q0 32188969437364225	460 0.44064796 myRun
1 Q0 34100304148434946	461 0.43915057 myRun
1 Q0 34916293438087168	462 0.43886298 myRun
1 Q0 30409363562692608	463 0.43844292 myRun
1 Q0 34732919016660993	464 0.43838304 myRun
1 Q0 33602042350010368	465 0.43614814 myRun
1 Q0 34665469260599296	466 0.4358305 myRun
1 Q0 34325921448071168	467 0.43556404 myRun
1 Q0 33509236184973313	468 0.4355629 myRun
1 Q0 34644803199176704	469 0.4353773 myRun
1 Q0 34942612913786880	470 0.43497515 myRun
1 Q0 34682214524395520	471 0.43481177 myRun
1 Q0 34613976952356864	472 0.43297666 myRun
1 Q0 34942986982789120	473 0.43115643 myRun
1 Q0 34746829945962496	474 0.4300954 myRun
1 Q0 34632054121439234	475 0.42983693 myRun
1 Q0 34171602044338176	476 0.4288774 myRun
1 Q0 31793298611904512	477 0.42829132 myRun
1 Q0 33700830561435648	478 0.42799526 myRun
1 Q0 32836484335673345	479 0.42714417 myRun
1 Q0 34720143506411520	480 0.42606726 myRun
1 Q0 31773698776109056	481 0.42538023 myRun
1 Q0 30657079391813632	482 0.42480254 myRun
1 Q0 34903151513440256	483 0.42456585 myRun
1 Q0 34603959033270272	484 0.42425358 myRun
1 Q0 34587324784320512	485 0.42425358 myRun
1 Q0 34548402616274944	486 0.42425358 myRun
1 Q0 34526153217675264	487 0.42425358 myRun
1 Q0 33212352774017025	488 0.42425358 myRun
1 Q0 34706368841654272	489 0.42412746 myRun
1 Q0 34946292765425664	490 0.423702 myRun
1 Q0 34910978344747008	491 0.4231192 myRun
1 Q0 34427335302184960	492 0.42216843 myRun
1 Q0 32340916408684544	493 0.4206731 myRun
1 Q0 32834698367475712	494 0.41980842 myRun
1 Q0 34950390466215936	495 0.41860327 myRun
1 Q0 33481475881967616	496 0.4184539 myRun
1 Q0 34870823353323520	497 0.41770142 myRun
1 Q0 34796640527187968	498 0.41760272 myRun
1 Q0 34637744198123521	499 0.41552657 myRun
1 Q0 34936439342899200	500 0.4154798 myRun
1 Q0 34910737528930304	501 0.41544884 myRun
1 Q0 34765435509411840	502 0.41451782 myRun
1 Q0 34409479747403776	503 0.4144873 myRun
1 Q0 30783443688230912	504 0.41393685 myRun
1 Q0 34945879139942400	505 0.4134118 myRun
1 Q0 34936400340058112	506 0.41245705 myRun
1 Q0 34896068814700544	507 0.41234684 myRun
1 Q0 34933891731173376	508 0.4119048 myRun
1 Q0 34628078042873856	509 0.41028786 myRun
1 Q0 31295093545635840	510 0.40983808 myRun
1 Q0 34866249125076992	511 0.40949565 myRun
1 Q0 34896060421767168	512 0.40941674 myRun
1 Q0 34530871604289536	513 0.40939236 myRun
1 Q0 34806720035291137	514 0.40935203 myRun
1 Q0 32273316047757312	515 0.40799683 myRun
1 Q0 34891542002925568	516 0.40726304 myRun
1 Q0 31653291230232576	517 0.40707415 myRun
1 Q0 34784528383877120	518 0.40680772 myRun
1 Q0 34757090895462401	519 0.4059111 myRun
1 Q0 34889179104149504	520 0.40566546 myRun
1 Q0 34141526510534656	521 0.40565962 myRun
1 Q0 34933149133705216	522 0.40511626 myRun
1 Q0 34596009799581697	523 0.40484077 myRun
1 Q0 34833495289233409	524 0.40306312 myRun
1 Q0 32785032661700609	525 0.40212476 myRun
1 Q0 34775042264928256	526 0.4021066 myRun
1 Q0 34898389988548608	527 0.4012774 myRun
1 Q0 34921541489664000	528 0.40120926 myRun
1 Q0 34927223500709888	529 0.40050244 myRun
1 Q0 34916765083377664	530 0.39885035 myRun
1 Q0 33332326909874178	531 0.39835107 myRun
1 Q0 34889246292582400	532 0.3982134 myRun
1 Q0 34880799350202368	533 0.39791656 myRun
1 Q0 34851536446160897	534 0.39696637 myRun
1 Q0 34780826906394624	535 0.3967865 myRun
1 Q0 33452828806615040	536 0.39612943 myRun
1 Q0 34690924302831616	537 0.39604753 myRun
1 Q0 34932089400999936	538 0.39601466 myRun
1 Q0 34934940659359744	539 0.39525518 myRun
1 Q0 34869897850789888	540 0.3936427 myRun
1 Q0 34681242674794497	541 0.39228135 myRun
1 Q0 34406017450123265	542 0.39211205 myRun
1 Q0 34950989601574912	543 0.39174452 myRun
1 Q0 31663242979844096	544 0.38935667 myRun
1 Q0 30828308941774848	545 0.38823357 myRun
1 Q0 32569893618450433	546 0.3869375 myRun
1 Q0 34922844034961408	547 0.3866735 myRun
1 Q0 32860264948834305	548 0.38664055 myRun
1 Q0 32413541927489536	549 0.38630253 myRun
1 Q0 33953702121451520	550 0.38619822 myRun
1 Q0 34755352532623360	551 0.38590625 myRun
1 Q0 34297209319063552	552 0.38580656 myRun
1 Q0 32610941329735680	553 0.38573804 myRun
1 Q0 34940813830004737	554 0.38491547 myRun
1 Q0 34893909884669952	555 0.38389665 myRun
1 Q0 34571364916535296	556 0.38385218 myRun
1 Q0 32725926353571840	557 0.38278377 myRun
1 Q0 34487777118654464	558 0.38252187 myRun
1 Q0 34879380589125632	559 0.38173598 myRun
1 Q0 34349631311716352	560 0.381041 myRun
